"","kgf","s","nome"
"303",1.24242,30.1,"BAT1"
"304",1.27273,30.2,"BAT1"
"305",1.27273,30.3,"BAT1"
"306",1.30303,30.4,"BAT1"
"307",1.33333,30.5,"BAT1"
"308",1.33333,30.6,"BAT1"
"309",1.36364,30.7,"BAT1"
"310",1.36364,30.8,"BAT1"
"311",1.39394,30.9,"BAT1"
"312",1.39394,31,"BAT1"
"313",1.42424,31.1,"BAT1"
"314",1.45455,31.2,"BAT1"
"315",1.45455,31.3,"BAT1"
"316",1.48485,31.4,"BAT1"
"317",1.48485,31.5,"BAT1"
"318",1.51515,31.6,"BAT1"
"319",1.54545,31.7,"BAT1"
"320",1.54545,31.8,"BAT1"
"321",1.57576,31.9,"BAT1"
"322",1.60606,32,"BAT1"
"323",1.60606,32.1,"BAT1"
"324",1.63636,32.2,"BAT1"
"325",1.63636,32.3,"BAT1"
"326",1.66667,32.4,"BAT1"
"327",1.69697,32.5,"BAT1"
"328",1.69697,32.6,"BAT1"
"329",1.72727,32.7,"BAT1"
"330",1.75758,32.8,"BAT1"
"331",1.75758,32.9,"BAT1"
"332",1.78788,33,"BAT1"
"333",1.81818,33.1,"BAT1"
"334",1.81818,33.2,"BAT1"
"335",1.84848,33.3,"BAT1"
"336",1.84848,33.4,"BAT1"
"337",1.87879,33.5,"BAT1"
"338",1.90909,33.6,"BAT1"
"339",1.93939,33.7,"BAT1"
"340",1.93939,33.8,"BAT1"
"341",1.9697,33.9,"BAT1"
"342",1.9697,34,"BAT1"
"343",2,34.1,"BAT1"
"344",2,34.2,"BAT1"
"345",2,34.3,"BAT1"
"346",2.0303,34.4,"BAT1"
"347",2.0303,34.5,"BAT1"
"348",2.06061,34.6,"BAT1"
"349",2.06061,34.7,"BAT1"
"350",2.09091,34.8,"BAT1"
"351",2.09091,34.9,"BAT1"
"352",2.09091,35,"BAT1"
"353",2.12121,35.1,"BAT1"
"354",2.12121,35.2,"BAT1"
"355",2.15152,35.3,"BAT1"
"356",2.15152,35.4,"BAT1"
"357",2.18182,35.5,"BAT1"
"358",2.18182,35.6,"BAT1"
"359",2.21212,35.7,"BAT1"
"360",2.21212,35.8,"BAT1"
"361",2.24242,35.9,"BAT1"
"362",2.24242,36,"BAT1"
"363",2.27273,36.1,"BAT1"
"364",2.27273,36.2,"BAT1"
"365",2.30303,36.3,"BAT1"
"366",2.33333,36.4,"BAT1"
"367",2.33333,36.5,"BAT1"
"368",2.36364,36.6,"BAT1"
"369",2.36364,36.7,"BAT1"
"370",2.39394,36.8,"BAT1"
"371",2.42424,36.9,"BAT1"
"372",2.42424,37,"BAT1"
"373",2.45455,37.1,"BAT1"
"374",2.48485,37.2,"BAT1"
"375",2.48485,37.3,"BAT1"
"376",2.51515,37.4,"BAT1"
"377",2.54545,37.5,"BAT1"
"378",2.54545,37.6,"BAT1"
"379",2.57576,37.7,"BAT1"
"380",2.60606,37.8,"BAT1"
"381",2.60606,37.9,"BAT1"
"382",2.63636,38,"BAT1"
"383",2.66667,38.1,"BAT1"
"384",2.66667,38.2,"BAT1"
"385",2.69697,38.3,"BAT1"
"386",2.69697,38.4,"BAT1"
"387",2.72727,38.5,"BAT1"
"388",2.75758,38.6,"BAT1"
"389",2.75758,38.7,"BAT1"
"390",2.78788,38.8,"BAT1"
"391",2.81818,38.9,"BAT1"
"392",2.81818,39,"BAT1"
"393",2.84848,39.1,"BAT1"
"394",2.84848,39.2,"BAT1"
"395",2.87879,39.3,"BAT1"
"396",2.90909,39.4,"BAT1"
"397",2.90909,39.5,"BAT1"
"398",2.93939,39.6,"BAT1"
"399",2.93939,39.7,"BAT1"
"400",2.9697,39.8,"BAT1"
"401",2.9697,39.9,"BAT1"
"402",3,40,"BAT1"
"403",3.0303,40.1,"BAT1"
"404",3.0303,40.2,"BAT1"
"405",3.06061,40.3,"BAT1"
"406",3.09091,40.4,"BAT1"
"407",3.09091,40.5,"BAT1"
"408",3.12121,40.6,"BAT1"
"409",3.12121,40.7,"BAT1"
"410",3.15152,40.8,"BAT1"
"411",3.18182,40.9,"BAT1"
"412",3.18182,41,"BAT1"
"413",3.21212,41.1,"BAT1"
"414",3.24242,41.2,"BAT1"
"415",3.27273,41.3,"BAT1"
"416",3.27273,41.4,"BAT1"
"417",3.30303,41.5,"BAT1"
"418",3.30303,41.6,"BAT1"
"419",3.33333,41.7,"BAT1"
"420",3.33333,41.8,"BAT1"
"421",3.36364,41.9,"BAT1"
"422",3.39394,42,"BAT1"
"423",3.42424,42.1,"BAT1"
"424",3.42424,42.2,"BAT1"
"425",3.45455,42.3,"BAT1"
"426",3.45455,42.4,"BAT1"
"427",3.48485,42.5,"BAT1"
"428",3.51515,42.6,"BAT1"
"429",3.51515,42.7,"BAT1"
"430",3.54545,42.8,"BAT1"
"431",3.54545,42.9,"BAT1"
"432",3.57576,43,"BAT1"
"433",3.60606,43.1,"BAT1"
"434",3.63636,43.2,"BAT1"
"435",3.63636,43.3,"BAT1"
"436",3.66667,43.4,"BAT1"
"437",3.66667,43.5,"BAT1"
"438",3.69697,43.6,"BAT1"
"439",3.69697,43.7,"BAT1"
"440",3.72727,43.8,"BAT1"
"441",3.75758,43.9,"BAT1"
"442",3.78788,44,"BAT1"
"443",3.78788,44.1,"BAT1"
"444",3.81818,44.2,"BAT1"
"445",3.81818,44.3,"BAT1"
"446",3.84848,44.4,"BAT1"
"447",3.87879,44.5,"BAT1"
"448",3.90909,44.6,"BAT1"
"449",3.90909,44.7,"BAT1"
"450",3.93939,44.8,"BAT1"
"451",3.9697,44.9,"BAT1"
"452",4,45,"BAT1"
"453",4,45.1,"BAT1"
"454",4.0303,45.2,"BAT1"
"455",4.0303,45.3,"BAT1"
"456",4.06061,45.4,"BAT1"
"457",4.06061,45.5,"BAT1"
"458",4.09091,45.6,"BAT1"
"459",4.12121,45.7,"BAT1"
"460",4.12121,45.8,"BAT1"
"461",4.15152,45.9,"BAT1"
"462",4.15152,46,"BAT1"
"463",4.18182,46.1,"BAT1"
"464",4.21212,46.2,"BAT1"
"465",4.21212,46.3,"BAT1"
"466",4.24242,46.4,"BAT1"
"467",4.27273,46.5,"BAT1"
"468",4.27273,46.6,"BAT1"
"469",4.30303,46.7,"BAT1"
"470",4.30303,46.8,"BAT1"
"471",4.33333,46.9,"BAT1"
"472",4.36364,47,"BAT1"
"473",4.39394,47.1,"BAT1"
"474",4.39394,47.2,"BAT1"
"475",4.42424,47.3,"BAT1"
"476",4.45455,47.4,"BAT1"
"477",4.45455,47.5,"BAT1"
"478",4.48485,47.6,"BAT1"
"479",4.51515,47.7,"BAT1"
"480",4.51515,47.8,"BAT1"
"481",4.54545,47.9,"BAT1"
"482",4.57576,48,"BAT1"
"483",4.57576,48.1,"BAT1"
"484",4.60606,48.2,"BAT1"
"485",4.63636,48.3,"BAT1"
"486",4.66667,48.4,"BAT1"
"487",4.66667,48.5,"BAT1"
"488",4.69697,48.6,"BAT1"
"489",4.69697,48.7,"BAT1"
"490",4.72727,48.8,"BAT1"
"491",4.72727,48.9,"BAT1"
"492",4.75758,49,"BAT1"
"493",4.78788,49.1,"BAT1"
"494",4.78788,49.2,"BAT1"
"495",4.81818,49.3,"BAT1"
"496",4.84848,49.4,"BAT1"
"497",4.84848,49.5,"BAT1"
"498",4.87879,49.6,"BAT1"
"499",4.90909,49.7,"BAT1"
"500",4.90909,49.8,"BAT1"
"501",4.93939,49.9,"BAT1"
"502",4.9697,50,"BAT1"
"503",4.9697,50.1,"BAT1"
"504",5,50.2,"BAT1"
"505",5.0303,50.3,"BAT1"
"506",5.0303,50.4,"BAT1"
"507",5.06061,50.5,"BAT1"
"508",5.09091,50.6,"BAT1"
"509",5.09091,50.7,"BAT1"
"510",5.12121,50.8,"BAT1"
"511",5.12121,50.9,"BAT1"
"512",5.15152,51,"BAT1"
"513",5.18182,51.1,"BAT1"
"514",5.21212,51.2,"BAT1"
"515",5.21212,51.3,"BAT1"
"516",5.24242,51.4,"BAT1"
"517",5.27273,51.5,"BAT1"
"518",5.27273,51.6,"BAT1"
"519",5.30303,51.7,"BAT1"
"520",5.30303,51.8,"BAT1"
"521",5.33333,51.9,"BAT1"
"522",5.36364,52,"BAT1"
"523",5.39394,52.1,"BAT1"
"524",5.39394,52.2,"BAT1"
"525",5.42424,52.3,"BAT1"
"526",5.45455,52.4,"BAT1"
"527",5.45455,52.5,"BAT1"
"528",5.48485,52.6,"BAT1"
"529",5.48485,52.7,"BAT1"
"530",5.51515,52.8,"BAT1"
"531",5.51515,52.9,"BAT1"
"532",5.54545,53,"BAT1"
"533",5.54545,53.1,"BAT1"
"534",5.54545,53.2,"BAT1"
"535",5.57576,53.3,"BAT1"
"536",5.57576,53.4,"BAT1"
"537",5.57576,53.5,"BAT1"
"538",5.60606,53.6,"BAT1"
"539",5.63636,53.7,"BAT1"
"540",5.66667,53.8,"BAT1"
"541",5.69697,53.9,"BAT1"
"542",5.69697,54,"BAT1"
"543",5.72727,54.1,"BAT1"
"544",5.75758,54.2,"BAT1"
"545",5.78788,54.3,"BAT1"
"546",5.78788,54.4,"BAT1"
"547",5.81818,54.5,"BAT1"
"548",5.84848,54.6,"BAT1"
"549",5.87879,54.7,"BAT1"
"550",5.87879,54.8,"BAT1"
"551",5.90909,54.9,"BAT1"
"552",5.90909,55,"BAT1"
"553",5.93939,55.1,"BAT1"
"554",5.9697,55.2,"BAT1"
"555",5.9697,55.3,"BAT1"
"556",6,55.4,"BAT1"
"557",6.0303,55.5,"BAT1"
"558",6.0303,55.6,"BAT1"
"559",6.06061,55.7,"BAT1"
"560",6.09091,55.8,"BAT1"
"561",6.09091,55.9,"BAT1"
"562",6.12121,56,"BAT1"
"563",6.15152,56.1,"BAT1"
"564",6.18182,56.2,"BAT1"
"565",6.18182,56.3,"BAT1"
"566",6.21212,56.4,"BAT1"
"567",6.24242,56.5,"BAT1"
"568",6.24242,56.6,"BAT1"
"569",6.27273,56.7,"BAT1"
"570",6.27273,56.8,"BAT1"
"571",6.30303,56.9,"BAT1"
"572",6.33333,57,"BAT1"
"573",6.33333,57.1,"BAT1"
"574",6.36364,57.2,"BAT1"
"575",6.36364,57.3,"BAT1"
"576",6.39394,57.4,"BAT1"
"577",6.42424,57.5,"BAT1"
"578",6.45455,57.6,"BAT1"
"579",6.45455,57.7,"BAT1"
"580",6.48485,57.8,"BAT1"
"581",6.48485,57.9,"BAT1"
"582",6.51515,58,"BAT1"
"583",6.51515,58.1,"BAT1"
"584",6.54545,58.2,"BAT1"
"585",6.57576,58.3,"BAT1"
"586",6.57576,58.4,"BAT1"
"587",6.60606,58.5,"BAT1"
"588",6.60606,58.6,"BAT1"
"589",6.63636,58.7,"BAT1"
"590",6.66667,58.8,"BAT1"
"591",6.66667,58.9,"BAT1"
"592",6.69697,59,"BAT1"
"593",6.72727,59.1,"BAT1"
"594",6.72727,59.2,"BAT1"
"595",6.75758,59.3,"BAT1"
"596",6.78788,59.4,"BAT1"
"597",6.78788,59.5,"BAT1"
"598",6.81818,59.6,"BAT1"
"599",6.81818,59.7,"BAT1"
"600",6.84848,59.8,"BAT1"
"601",6.87879,59.9,"BAT1"
"602",6.87879,60,"BAT1"
"603",6.90909,60.1,"BAT1"
"604",6.93939,60.2,"BAT1"
"605",6.93939,60.3,"BAT1"
